City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,18.89,64,71,9.1,PN,1691621624
1,albany,42.6001,-73.9662,26.36,60,32,4.5,US,1691621625
2,pristen',51.2355,36.6959,13.65,78,6,3.19,RU,1691621625
3,olonkinbyen,70.9221,-8.7187,6.07,99,100,4.06,SJ,1691621626
4,tiksi,71.6872,128.8694,18.71,45,15,3.11,RU,1691621627
5,puerto natales,-51.7236,-72.4875,2.13,96,89,1.61,CL,1691621628
6,whitehorse,60.7161,-135.0538,21.17,40,75,5.66,CA,1691621553
7,invercargill,-46.4,168.35,4.45,93,84,2.68,NZ,1691621629
8,margaret river,-33.95,115.0667,10.4,83,100,1.99,AU,1691621629
9,mount isa,-20.7333,139.5,17.87,45,6,1.54,AU,1691621630
10,mineros,-17.1167,-63.2333,27.15,42,0,1.88,BO,1691621630
11,al kut,32.5147,45.819,38.79,11,4,4.28,IQ,1691621631
12,eusebio ayala,-25.4,-56.9667,19.0,93,66,1.88,PY,1691621631
13,yellowknife,62.456,-114.3525,22.29,40,75,6.69,CA,1691621632
14,port-aux-francais,-49.35,70.2167,2.92,78,95,12.27,TF,1691621632
15,kodiak,57.79,-152.4072,14.73,77,100,4.12,US,1691621632
16,stanley,54.868,-1.6985,16.55,86,75,3.09,GB,1691621633
17,kangding,30.0513,101.9603,17.03,89,100,0.37,CN,1691621633
18,hechuan,29.9947,106.2572,30.27,84,70,1.05,CN,1691621634
19,tambura,5.6,27.4667,19.93,97,72,1.46,SS,1691621635
20,atafu village,-8.5421,-172.5159,28.36,78,95,6.22,TK,1691621636
21,sisimiut,66.9395,-53.6735,5.37,89,100,4.13,GL,1691621636
22,nueva guinea,11.6876,-84.4562,27.54,78,93,3.39,NI,1691621637
23,mildura,-34.2,142.15,8.37,90,0,4.64,AU,1691621637
24,kita,13.0349,-9.4895,26.79,75,84,1.81,ML,1691621638
25,lompoc,34.6391,-120.4579,24.88,74,75,4.12,US,1691621638
26,blackmans bay,-43.0167,147.3167,13.18,67,95,3.37,AU,1691621639
27,itamaraca,-7.7478,-34.8256,26.03,77,50,5.46,BR,1691621639
28,vilyuchinsk,52.9306,158.4028,18.15,67,63,1.35,RU,1691621640
29,odienne,9.51,-7.5692,22.33,97,99,1.94,CI,1691621640
30,vorgashor,67.5833,63.95,7.15,91,23,3.36,RU,1691621641
31,verkhnevilyuysk,63.4453,120.3167,17.74,54,0,3.61,RU,1691621641
32,isabela,6.7085,121.9711,28.03,80,79,1.83,PH,1691621643
33,iqaluit,63.7506,-68.5145,4.85,100,100,4.12,CA,1691621644
34,phalaborwa,-23.943,31.1411,16.6,86,0,3.54,ZA,1691621645
35,selfoss,63.9331,-20.9971,11.14,78,99,1.6,IS,1691621346
36,petropavlovsk-kamchatsky,53.0452,158.6483,17.33,59,20,1.0,RU,1691621647
37,alofi,-19.0595,-169.9187,27.94,83,75,2.57,NU,1691621648
38,kodoli,16.8833,74.2,21.06,96,97,2.18,IN,1691621649
39,crane,31.3974,-102.3501,41.1,12,2,3.23,US,1691621650
40,sabang,5.8933,95.3214,27.65,78,92,8.65,ID,1691621651
41,nemuro,43.3236,145.575,19.11,99,100,5.8,JP,1691621651
42,papatowai,-46.5619,169.4708,4.04,86,96,3.4,NZ,1691621652
43,tolanaro,-25.0319,46.9987,20.04,88,20,4.12,MG,1691621652
44,tongchuanshi,35.0806,109.0897,22.68,87,8,1.93,CN,1691621653
45,waitangi,-43.9535,-176.5597,10.46,74,53,2.24,NZ,1691621653
46,college,64.8569,-147.8028,23.45,72,75,2.06,US,1691621654
47,tangalle,6.024,80.7911,25.24,90,98,4.41,LK,1691621654
48,port augusta,-32.5,137.7667,11.4,74,1,2.32,AU,1691621655
49,edinburgh of the seven seas,-37.0676,-12.3116,10.5,61,56,11.15,SH,1691621655
50,el kala,36.8956,8.4433,22.2,63,0,1.17,DZ,1691621656
51,hailar,49.2,119.7,16.22,81,8,2.92,CN,1691621656
52,sterling,39.0062,-77.4286,30.56,57,75,4.63,US,1691621474
53,lazaro cardenas,17.9583,-102.2,30.76,68,32,1.98,MX,1691621658
54,ushuaia,-54.8,-68.3,7.81,61,75,5.66,AR,1691621484
55,ancud,-41.8697,-73.8203,11.11,82,100,8.23,CL,1691621659
56,utrik,11.2278,169.8474,28.36,71,74,5.23,MH,1691621659
57,tocopilla,-22.092,-70.1979,18.95,70,13,2.66,CL,1691621514
58,minas de marcona,-15.2119,-75.1103,14.49,76,4,5.45,PE,1691621660
59,isafjordur,66.0755,-23.124,7.88,74,91,3.52,IS,1691621661
60,ust-nera,64.5667,143.2,18.28,53,10,1.37,RU,1691621661
61,toropets,56.4978,31.6353,10.87,71,3,1.07,RU,1691621662
62,aykhal,66.0,111.5,15.81,58,94,2.38,RU,1691621662
63,tayu,-6.5397,111.0518,22.22,82,90,3.47,ID,1691621663
64,iskateley,67.6803,53.1512,10.76,88,26,2.41,RU,1691621663
65,hermanus,-34.4187,19.2345,12.84,82,0,4.49,ZA,1691621664
66,bethel,41.3712,-73.414,28.6,58,0,3.6,US,1691621405
67,badger,64.8,-147.5333,23.41,73,75,2.06,US,1691621665
68,arapgir,39.0412,38.4952,26.87,29,0,0.54,TR,1691621665
69,dryden,49.7833,-92.7503,16.16,67,100,4.63,CA,1691621665
70,namibe,-15.1961,12.1522,17.08,88,67,3.66,AO,1691621666
71,port elizabeth,-33.918,25.5701,16.16,82,0,5.66,ZA,1691621667
72,i-n-salah,27.1935,2.4607,35.16,12,0,5.88,DZ,1691621667
73,derzhavinsk,51.1,66.3167,18.24,77,65,3.45,KZ,1691621667
74,mana,5.6592,-53.7767,26.36,84,39,5.74,GF,1691621669
75,fortuna,40.5982,-124.1573,23.29,72,20,6.17,US,1691621669
76,piti village,13.4626,144.6933,27.49,93,40,2.06,GU,1691621670
77,the pas,53.8251,-101.2541,19.01,42,0,3.6,CA,1691621671
78,sabha,27.0377,14.4283,27.27,29,0,4.54,LY,1691621671
79,saint-denis,48.9167,2.3333,19.43,78,0,1.54,FR,1691621672
80,taseyevo,57.2169,94.8978,13.83,96,74,1.22,RU,1691621672
81,hawaiian paradise park,19.5933,-154.9731,28.18,74,20,3.6,US,1691621672
82,jupiter,26.9342,-80.0942,31.14,76,95,3.13,US,1691621660
83,sandnessjoen,66.0217,12.6316,18.06,48,20,2.57,NO,1691621624
84,hithadhoo,-0.6,73.0833,27.12,75,76,2.14,MV,1691621675
85,ribeira grande,38.5167,-28.7,24.22,88,20,3.6,PT,1691621676
86,bilibino,68.0546,166.4372,14.09,39,99,2.04,RU,1691621676
87,west island,-12.1568,96.8225,24.99,83,75,5.14,CC,1691621677
88,saipan,15.1355,145.701,28.69,100,100,4.12,MP,1691621677
89,punta arenas,-53.15,-70.9167,3.0,90,100,2.35,CL,1691621648
